"Concurso";"Data do Sorteio";"Coluna1";"Coluna2";"Coluna3";"Coluna4";"Coluna5";"Coluna6";"Ganhadores Faixa 1";"Ganhadores Faixa 2";"Ganhadores Faixa 3";"Rateio Faixa 1";"Rateio Faixa2";"Rateio Faixa 3";"Cidade";"Valor Arrecadado";"Estimativa para o próximo concurso";"Valor Acumulado Próximo Concurso";"Acumulado";"Sorteio Especial";"Observação"
130;1998-08-29 00:00:00;13;29;38;42;49;53;0;155;11403;0.00;11796.24;160.03;-;0.00;0.00;18814958.31;Sim;Não;-
131;1998-09-05 00:00:00;4;9;17;27;30;44;0;361;21683;0.00;6811.67;113.19;-;0.00;0.00;21765774.49;Sim;Não;-
132;1998-09-12 00:00:00;7;9;35;41;44;50;0;143;12179;0.00;20846.64;244.29;-;0.00;0.00;25343057.89;Sim;Não;A MEGA CONTINUA ACUMULADA - Previsão de Prêmio para o Conc.133 = 29.000.000,00
133;1998-09-19 00:00:00;5;6;19;34;39;57;1;431;29264;30533241.12;10035.16;147.51;-;0.00;0.00;0.00;Não;Não;ESTADO CONTEMPLADO COM SENA: 01 MINAS GERAIS.
134;1998-09-26 00:00:00;4;25;32;36;52;60;0;82;4575;0.00;10253.38;183.42;-;0.00;0.00;1008932.39;Sim;Não;-
135;1998-10-03 00:00:00;21;22;35;40;53;59;0;40;3604;0.00;24573.18;272.19;-;0.00;0.00;2188444.72;Sim;Não;A MEGA-SENA ESTÁ ACUMULADA ! ! !
136;1998-10-10 00:00:00;1;17;25;38;45;59;0;126;7403;0.00;8435.36;143.29;-;0.00;0.00;3463871.17;Sim;Não;-
137;1998-10-17 00:00:00;15;16;19;22;26;49;0;88;6701;0.00;12675.49;166.13;-;0.00;0.00;4802402.93;Sim;Não;A MEGA-SENA ESTÁ ACUMULADA ! ! !
138;1998-10-24 00:00:00;5;14;27;37;40;41;0;86;6953;0.00;14074.36;173.74;-;0.00;0.00;6254876.80;Sim;Não;-
139;1998-10-31 00:00:00;3;13;26;27;41;42;2;179;9401;3902486.14;7216.46;137.14;-;0.00;0.00;0.00;Não;Não;02 Ganhadores do Estado de SÃO PAULO (Taubaté e São Paulo-Capital)
140;1998-11-07 00:00:00;7;31;41;44;46;55;0;45;4945;0.00;36581.33;332.24;-;0.00;0.00;16453628.31;Sim;Não;-
141;1998-11-14 00:00:00;10;13;22;41;42;58;0;119;10533;0.00;20106.10;226.70;-;0.00;0.00;19324778.90;Sim;Não;A MEGA-SENA ESTÁ ACUMULADA. PREVISÃO DO PRÊMIO: 23 Milhões. ! ! !
142;1998-11-21 00:00:00;8;15;19;20;54;59;0;162;13991;0.00;18143.56;209.66;-;0.00;0.00;22851887.24;Sim;Não;A MEGA-SENA CONTINUA A C U M U L A A A D A !
143;1998-11-28 00:00:00;6;18;20;40;50;53;0;144;10994;0.00;24792.99;324.10;-;0.00;0.00;27136115.88;Sim;Não;A MEGA ACUMULOU E A BOLADA ESTARÁ BEM MAIOR ! ! !
144;1998-12-05 00:00:00;8;32;36;44;45;55;1;257;23952;33597755.21;20952.14;224.38;-;0.00;0.00;0.00;Não;Não;ESTADO CONTEMPLADO COM A SENA: RONDONIA - CIDADE PORTO VELHO.
145;1998-12-12 00:00:00;15;16;31;41;43;51;0;71;3389;0.00;15061.27;314.91;-;0.00;0.00;1283220.59;Sim;Não;A C U M U L O U ! ! !
146;1998-12-19 00:00:00;25;32;34;42;51;60;0;51;4079;0.00;23923.45;298.52;-;0.00;0.00;2747335.81;Sim;Não;-
147;1998-12-24 00:00:00;6;16;23;24;28;38;1;75;5418;3805750.38;11760.17;162.48;-;0.00;0.00;0.00;Não;Não;01 Ganhador da MEGA - Distrito Federal
148;1998-12-31 00:00:00;32;35;41;55;58;59;0;15;2322;0.00;53660.04;345.95;-;0.00;0.00;965880.61;Sim;Não;-
149;1999-01-09 00:00:00;7;11;20;28;45;48;0;106;6290;0.00;9795.13;164.74;-;0.00;0.00;2211820.94;Sim;Não;A MEGA ACUMULOU - O prêmio do CONC.150 pode chegar a 21,2 Milhões.
150;1999-01-16 00:00:00;12;44;50;52;54;55;0;56;5540;0.00;36378.71;367.00;-;0.00;0.00;21414530.14;Sim;Não;-
151;1999-01-23 00:00:00;3;16;20;43;52;56;1;152;9869;24091811.02;14678.07;225.62;-;0.00;0.00;0.00;Não;Não;Ganhador da SENA do Estado do Rio Grande do Norte.
152;1999-01-30 00:00:00;5;12;15;29;51;58;0;75;5041;0.00;11562.39;172.03;-;0.00;0.00;1040614.80;Sim;Não;A MEGA-SENA acumulou em mais de 1 milhão de reais.
153;1999-02-06 00:00:00;2;30;31;42;45;47;0;47;4218;0.00;22846.45;254.57;-;0.00;0.00;2329154.62;Sim;Não;-
154;1999-02-13 00:00:00;8;10;24;33;45;48;0;144;9252;0.00;7888.29;122.78;-;0.00;0.00;3692251.60;Sim;Não;A MEGA ESTÁ ACUMULADA - Próximo Conc. 155, será dia 20/02/1999
155;1999-02-20 00:00:00;12;30;32;35;43;44;1;67;4974;4988808.21;16126.32;217.22;-;0.00;0.00;0.00;Não;Não;Ganhador da SENA da cidade de Foz do Iguaçu - Estado do Paraná.
156;1999-02-27 00:00:00;17;23;42;49;52;55;0;74;4455;0.00;11018.10;183.02;-;0.00;0.00;978407.41;Sim;Não;A MEGA-SENA está A C U M U L A D A !!!
157;1999-03-06 00:00:00;4;13;17;21;41;44;1;134;8894;2140030.92;7224.03;108.84;-;0.00;0.00;0.00;Não;Não;Ganhador da SENA do Estado de Goiás.
158;1999-03-13 00:00:00;4;14;17;43;51;58;0;31;3630;0.00;25856.53;220.81;-;0.00;0.00;961863.12;Sim;Não;A Mega-Sena A C U M U L O U !!!
159;1999-03-20 00:00:00;9;11;16;35;50;58;1;57;4124;2038170.67;15735.49;217.49;PR;0.00;0.00;0.00;Não;Não;Ganhador da SENA do Estado do Paraná.
160;1999-03-27 00:00:00;2;13;42;52;54;58;0;74;6132;0.00;19431.89;234.50;-;0.00;0.00;11251511.63;Sim;Não;A MEGA está acumulada - o Prêmio do Concurso 161, poderá chegar a R$ 13 Milhões
161;1999-04-03 00:00:00;6;25;30;37;39;41;0;95;6865;0.00;14430.61;199.69;-;0.00;0.00;12896601.04;Sim;Não;-
162;1999-04-10 00:00:00;21;23;33;38;48;51;0;92;7244;0.00;20941.30;265.96;-;0.00;0.00;15208520.83;Sim;Não;-
